Okres,Razem czynsz [zł],Licznik CO,Licznik ciepłej wody,Licznik zimnej wody,Centralne ogrzewanie wg zużycia [zł],Koszty stałe i wspólne wytworzenia co i cw [zł],Podgrzanie wody [zł],Zimna woda i kanalizacja [zł],Wyrównanie zimna woda [zł],Razem media [zł],RAZEM OPŁATY [zł],OK?,Zużycie prądu,Koszt prądu,Last Updated
2025-09-01,0.0,,,,,,,,,,,OK,195.0,242.355,
2025-08-01,629.28,0.0,3.1,5.9,0.0,105.8,88.78,125.8,-10.8,309.58,938.86,OK,195.0,242.355,
2025-07-01,634.16,0.0,3.1,5.9,0.0,122.36,88.94,125.8,2.61,339.71,973.87,OK,181.0,220.4,
2025-06-01,629.28,0.0,4.6,5.9,0.0,113.16,153.64,146.73,13.1,426.63,1055.91,OK,181.0,220.4,
2025-05-01,632.82,0.75,5.3,6.5,134.24,172.04,152.22,164.61,-6.46,617.9,1250.72,Różnica -1.25 zł,200.0,229.61,
2025-04-01,634.81,0.83,4.4,5.2,133.53,230.0,123.55,133.92,13.35,634.6,1269.41,Różnica -0.25 zł,201.0,229.61,
2025-03-01,653.97,1.35,3.6,5.7,196.72,345.92,102.2,129.74,-9.34,765.49,1419.46,Różnica -0.25 zł,201.0,229.62,
2025-02-01,653.97,1.35,3.6,5.7,196.72,345.92,102.2,129.74,-9.34,765.49,1419.46,Różnica -0.25 zł,241.0,293.96,
2025-01-01,666.95,1.8,4.2,5.8,257.26,332.12,118.9,125.8,2.19,836.27,1503.22,OK,212.5,247.74,
2024-12-01,616.48,1.2,3.7,6.2,166.52,310.04,101.97,124.54,8.7,711.77,1328.25,OK,212.5,247.74,
2024-11-01,613.74,1.13,4.5,7.8,159.65,271.4,123.44,154.73,-0.33,708.89,1322.63,OK,216.5,252.35,
2024-10-01,595.86,0.75,3.4,6.7,109.49,160.08,85.82,127.06,14.62,497.07,1092.93,OK,216.5,252.34,2024-09-17 08:21:03
2024-09-01,591.44,0.08,0.9,2.5,7.55,108.56,27.14,42.77,-3.6,182.42,773.86,OK,111.5,137.46,2024-09-17 08:21:03
2024-08-01,595.23,0.0,3.1,5.3,0.0,123.28,92.91,105.67,-2.34,319.52,914.75,OK,111.5,137.45,2024-09-17 08:21:03
2024-07-01,591.44,0.0,3.5,5.2,0.0,113.16,105.95,109.45,6.68,335.24,926.68,OK,136.5,147.46,2024-09-17 08:21:03
2024-06-01,595.99,0.0,3.1,4.6,0.0,123.28,77.75,96.87,2.42,300.32,896.31,OK,136.5,147.46,2024-09-17 08:21:03
2024-05-01,591.44,0.15,2.9,4.3,22.68,132.48,70.85,90.58,-9.1,307.49,898.93,OK,129.5,131.1,2024-09-17 08:21:02
2024-04-01,601.95,0.6,3.0,8.9,79.85,241.96,68.97,149.7,11.84,552.32,1154.27,OK,129.5,131.1,2024-09-17 08:21:02
2024-03-01,605.04,2.1,3.0,4.8,255.05,242.88,69.54,98.12,-0.47,665.12,1270.16,OK,126.0,128.205,2024-09-17 08:21:03
2024-02-01,607.63,2.4,2.5,4.7,288.77,230.92,57.83,90.58,-6.51,661.59,1269.22,OK,126.0,128.205,2024-09-17 08:21:03
